type,varieties,abv,degree,sweet,acidity,body,tannin
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.9,0.0,0.75,1.0,0.75
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.85,0.0,0.5,0.75,0.75
Rotwein,Carignan,0.25555555555555554,0.8,0.25,0.5,0.25,0.25
Weißwein,Carignan,0.25555555555555554,0.5,0.0,0.5,0.25,0.0
Rotwein,Cabernet Sauvignon,0.3,0.9,0.0,0.5,0.5,0.75
Rotwein,Gamay,0.26666666666666666,0.7,0.25,0.75,0.25,0.25
Rotwein,Merlot,0.28888888888888886,0.9,0.0,0.5,0.75,0.5
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.25,0.5
Weißwein,Sauvignon blanc,0.25555555555555554,0.5,0.0,0.75,0.25,0.0
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.25,0.5
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.5,0.5
Weißwein,Sauvignon blanc,0.25555555555555554,0.5,0.0,0.75,0.25,0.0
Weißwein,Semillon,0.28888888888888886,0.55,0.25,0.75,0.5,0.0
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.9,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.75,0.5,0.5
Rotwein,Merlot,0.2777777777777778,0.85,0.0,0.5,0.25,0.25
Roséwein,Andere Weine,0.24444444444444444,0.55,0.5,0.25,0.5,0.0
Weißwein,Andere Weine,0.24444444444444444,0.55,0.5,0.25,0.5,0.0
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.75,0.75
Rotwein,Merlot,0.3,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.75,0.75,0.5
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.75,0.5,0.75
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.75,0.75,0.5
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.75,0.75,0.75
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.5,0.75,0.5
